feature,value_0,value_1,value_2,value_3,value_4
Национальность_Немцы,0.0,0.0,0.0,0.0,0.0
Национальность_Русские,0.0,0.0,0.0,0.0,0.0
Национальность_Татары,0.0,0.0,0.0,0.0,0.0
Национальность_Украинцы,0.0,0.0,0.0,0.0,0.0
Национальность_Чуваши,0.0,0.0,0.0,0.0,0.0
Религия_Атеист / агностик,0.0,0.0,0.0,0.0,0.0
Религия_Ислам,0.0,0.0,0.0,0.0,0.0
Религия_Нет,0.0,0.0,0.0,0.0,0.026051014420029533
Религия_Христианство,0.0,0.0,0.0,0.0,0.0
Образование_2 - начальная школа,0.0,0.0,0.0,0.0,0.0
Образование_3 - средняя школа / закон.среднее / выше среднего,0.0,0.0,0.0,0.0,0.0
Образование_4 - профессиональное училище,0.0,0.0,0.0,0.0,0.0
Образование_5 - ВУЗ,0.0,0.0,0.0,0.0,0.0
Профессия_ведение домашнего хозяйства,0.0,0.0,0.0,0.0,0.0
Профессия_вооруженные силы,0.0,0.0,0.0,0.0,0.0
Профессия_дипломированные специалисты,0.0,0.0,0.0,0.0,0.0
Профессия_квалифицированные работники сельского хозяйства и рыболовного,0.0,0.0,0.0,0.0,0.0
Профессия_низкоквалифицированные работники,0.0,0.0,0.0,0.0,0.0
Профессия_операторы и монтажники установок и машинного оборудования,0.0,0.0,0.0,0.0,0.0
"Профессия_представители   законодат.   органов   власти,  высокопостав. долж.лица и менеджеры",0.0,0.0,0.0,0.0,0.0
"Профессия_работники,  занятые в сфере обслуживания, торговые работники магазинов и рынков",0.0,0.0,0.0,0.0,0.0
Профессия_ремесленники и представители других отраслей промышленности,0.0,0.0,0.0,0.0,0.0
Профессия_служащие,0.0,0.0,0.0,0.0,0.0
Профессия_техники и младшие специалисты,0.0,0.0,0.0,0.0,0.0
Статус Курения_Бросил(а),0.0,0.0,0.0,0.0,0.0
Статус Курения_Курит,0.0,0.0,0.0,0.0,0.0
Статус Курения_Никогда не курил(а),0.0,0.0,0.0,0.0,0.0
Частота пасс кур_1-2 раза в неделю,0.0,0.0,0.0,0.0,0.0
Частота пасс кур_2-3 раза в день,0.0,0.0,0.0,0.0,0.0
Частота пасс кур_3-6 раз в неделю,0.0,0.0,0.0,0.0,0.0
Частота пасс кур_4 и более раз в день,0.0,0.0,0.0,0.0,0.0
Частота пасс кур_не менее 1 раза в день,0.0,0.0,0.0,0.0,0.0
Алкоголь_никогда не употреблял,0.0,0.0,0.0,0.0,0.0
Алкоголь_ранее употреблял,0.0,0.0,0.0,0.0,0.0
Алкоголь_употребляю в настоящее время,0.0,0.0,0.0,0.0,0.0
hour_Время засыпания,0.0,0.0,0.24688958999179839,0.0,0.0
hour_Время пробуждения,0.0,0.0,0.0,0.0,0.0
Вы работаете?_*_Выход на пенсию,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Выход на пенсию,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Выход на пенсию,0.0,0.0,0.0,0.14330041709095065,0.0
Вы работаете?_/_Выход на пенсию,0.0,0.0,0.0,0.0,0.0
Вы работаете?_*_Прекращение работы по болезни,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Прекращение работы по болезни,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Прекращение работы по болезни,0.03890805467723083,0.0,0.0,0.0,0.0
Вы работаете?_/_Прекращение работы по болезни,0.0,0.0,0.0,0.2303798182997186,0.0
Вы работаете?_*_Сахарный диабет,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Сахарный диабет,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Сахарный диабет,0.0,0.0,0.44569263719629515,0.44621685673501255,0.0
Вы работаете?_/_Сахарный диабет,0.06844093145869366,0.0,0.0,0.0,0.0
Вы работаете?_*_Гепатит,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Гепатит,0.0,0.0,0.0,0.038163666804947184,0.0
Вы работаете?_-_Гепатит,0.010908408319910076,0.0,0.0,0.3563596850383924,0.0
Вы работаете?_/_Гепатит,0.0,0.0,0.06494811639284223,0.0,0.0
Вы работаете?_*_Онкология,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Онкология,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Онкология,0.09448779391626169,0.0,0.0,0.0,0.0
Вы работаете?_/_Онкология,0.0,0.0,0.0,0.0,0.0
Вы работаете?_*_Хроническое заболевание легких,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Хроническое заболевание легких,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Хроническое заболевание легких,0.037303590041942586,0.0,0.06532440513050114,0.0,0.0
Вы работаете?_/_Хроническое заболевание легких,0.0,0.0,0.0,0.0,0.4293660924548108
Вы работаете?_*_Бронжиальная астма,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Бронжиальная астма,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Бронжиальная астма,0.0,0.0,0.14894628851898287,0.0,0.0
Вы работаете?_/_Бронжиальная астма,0.03472945001042835,0.0,0.03976791524409013,0.260445989059531,0.0
Вы работаете?_*_Туберкулез легких ,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Туберкулез легких ,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Туберкулез легких ,0.0,0.0,0.0,0.0,0.0
Вы работаете?_/_Туберкулез легких ,0.05067556501774709,0.0,0.1749623835340729,0.0,0.014407063551528635
Вы работаете?_*_ВИЧ/СПИД,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_ВИЧ/СПИД,0.0,0.3700337635793289,0.0,0.0,0.0
Вы работаете?_-_ВИЧ/СПИД,0.0,0.0,0.0,0.2575320376964086,0.0
Вы работаете?_/_ВИЧ/СПИД,0.0,0.0,0.0,0.0,0.0
Вы работаете?_*_Регулярный прим лекарственных средств,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Регулярный прим лекарственных средств,0.04456614823216193,0.0,0.1106824761382729,0.08917514037983748,0.0
Вы работаете?_-_Регулярный прим лекарственных средств,0.04195479696550714,0.0,0.0,0.0,0.0
Вы работаете?_/_Регулярный прим лекарственных средств,0.0,0.0,0.0,0.3131237712927744,0.0
Вы работаете?_*_Травмы за год,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Травмы за год,0.04376417058064597,0.0,0.0,0.14244876703033732,0.24100689006363737
Вы работаете?_-_Травмы за год,0.02145044305555855,0.0,0.0,0.0,0.0
Вы работаете?_/_Травмы за год,0.0,0.0,0.0,0.0,0.0
Вы работаете?_*_Переломы,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Переломы,0.07361083421426023,0.20459108376626617,0.0,0.0,0.0
Вы работаете?_-_Переломы,0.0,0.0,0.0,0.0,0.0
Вы работаете?_/_Переломы,0.0,0.0,0.3170169622501791,0.0,0.0
Вы работаете?_*_Возраст курения,0.10216513165132057,0.0,0.16424459885408724,0.0,0.0
Вы работаете?_+_Возраст курения,0.02766490978573541,0.0,0.0,0.0,0.0
Вы работаете?_-_Возраст курения,0.0,0.0,0.0,0.0,0.0
Вы работаете?_/_Возраст курения,0.06510421262145591,0.0,0.06968494464403874,0.03017204832009838,0.0
Вы работаете?_*_Сигарет в день,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Сигарет в день,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Сигарет в день,0.043960548747837586,0.0,0.0,0.0,0.0
Вы работаете?_/_Сигарет в день,0.0,0.0,0.0,0.0,0.0
Вы работаете?_*_Пассивное курение,0.0,0.0,0.0,0.0,0.09301925033540544
Вы работаете?_+_Пассивное курение,0.014869794604195418,0.0,0.0,0.0,0.0
Вы работаете?_-_Пассивное курение,0.02684093701744243,0.2874835173348206,0.0,0.0,0.19457093415412693
Вы работаете?_/_Пассивное курение,0.0,0.0,0.0,0.0,0.0
Вы работаете?_*_Возраст алког,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Возраст алког,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Возраст алког,0.07679110775394894,0.0,0.0,0.0,0.0
Вы работаете?_/_Возраст алког,0.0,0.0,0.0,0.0,0.3185632520072411
Вы работаете?_*_Сон после обеда,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Сон после обеда,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Сон после обеда,0.0,0.0,0.09459627640365402,0.0,0.0
Вы работаете?_/_Сон после обеда,0.0,0.0,0.0,0.13431504007363632,0.0
"Вы работаете?_*_Спорт, клубы",0.0,0.053295850162945774,0.0,0.0,0.0
"Вы работаете?_+_Спорт, клубы",0.12515476902936418,0.0,0.0,0.0,0.0
"Вы работаете?_-_Спорт, клубы",0.0,0.0,0.0,0.0,0.0
"Вы работаете?_/_Спорт, клубы",0.05936290692576398,0.0,0.0,0.0,0.0
"Вы работаете?_*_Религия, клубы",0.0,0.0,0.0,0.0,0.0
"Вы работаете?_+_Религия, клубы",0.015026785958284142,0.0,0.22802545513872124,0.1755375657627814,0.0
"Вы работаете?_-_Религия, клубы",0.0,0.0,0.0,0.10762597192186532,0.0
"Вы работаете?_/_Религия, клубы",0.07041890456672337,0.0,0.0,0.0,0.0
Вы работаете?_*_Пол_Ж,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Пол_Ж,0.0,0.30677668455673385,0.0,0.0,0.0
Вы работаете?_-_Пол_Ж,0.0,0.0,0.0,0.0,0.0
Вы работаете?_/_Пол_Ж,0.0,0.0,0.15001516104439816,0.0,0.0
Вы работаете?_*_Пол_М,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Пол_М,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Пол_М,0.02772503980844803,0.0,0.0,0.2477242405697999,0.0
Вы работаете?_/_Пол_М,0.0,0.0,0.0,0.15840157345726866,0.0
Вы работаете?_*_Семья_в браке в настоящее время,0.09131249892168193,0.0,0.0,0.0,0.0
Вы работаете?_+_Семья_в браке в настоящее время,0.005050549492854112,0.0,0.22722037776098644,0.0,0.0
Вы работаете?_-_Семья_в браке в настоящее время,0.0,0.0,0.0,0.0,0.0
Вы работаете?_/_Семья_в браке в настоящее время,0.0,0.0,0.0,0.0,0.0
Вы работаете?_*_Семья_в разводе,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Семья_в разводе,0.008902559931602659,0.0,0.10066875157629218,0.06623417930987843,0.0
Вы работаете?_-_Семья_в разводе,0.01839167091009612,0.0,0.0,0.09659397508075195,0.0
Вы работаете?_/_Семья_в разводе,0.016947187980345356,0.0,0.0,0.0,0.0
Вы работаете?_*_Семья_вдовец / вдова,0.0,0.0,0.06826199846077527,0.0,0.0
Вы работаете?_+_Семья_вдовец / вдова,0.0,0.0,0.0,0.0,0.16753695297797494
Вы работаете?_-_Семья_вдовец / вдова,0.1908776841302895,0.0,0.03461550839528218,0.0,0.0
Вы работаете?_/_Семья_вдовец / вдова,0.0,0.0,0.0,0.17807629620763868,0.0
Вы работаете?_*_Семья_гражданский брак / проживание с партнером,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Семья_гражданский брак / проживание с партнером,0.027424656881356462,0.0,0.0,0.0,0.0
Вы работаете?_-_Семья_гражданский брак / проживание с партнером,0.12652376981523847,0.0,0.0,0.0,0.0
Вы работаете?_/_Семья_гражданский брак / проживание с партнером,0.0,0.0,0.0,0.0,0.0
Вы работаете?_*_Семья_никогда не был(а) в браке,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Семья_никогда не был(а) в браке,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Семья_никогда не был(а) в браке,0.0,0.0,0.0,0.22428791020376185,0.0
Вы работаете?_/_Семья_никогда не был(а) в браке,0.14832239710122697,0.0,0.0,0.0,0.0
Вы работаете?_*_Семья_раздельное проживание (официально не разведены),0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Семья_раздельное проживание (официально не разведены),0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Семья_раздельное проживание (официально не разведены),0.0,0.0,0.0,0.0006096235722014976,0.0
Вы работаете?_/_Семья_раздельное проживание (официально не разведены),0.0,0.0,0.0,0.2059932662643586,0.0
"Вы работаете?_*_Этнос_другая азиатская (Корея, Малайзия, Таиланд, Вьетнам, Казахстан, Киргизия, Туркмения, Узбекистан, Таджикистан)",0.0,0.0,0.0,0.0,0.0
"Вы работаете?_+_Этнос_другая азиатская (Корея, Малайзия, Таиланд, Вьетнам, Казахстан, Киргизия, Туркмения, Узбекистан, Таджикистан)",0.0,0.0,0.0,0.0,0.0
"Вы работаете?_-_Этнос_другая азиатская (Корея, Малайзия, Таиланд, Вьетнам, Казахстан, Киргизия, Туркмения, Узбекистан, Таджикистан)",0.002675170077249768,0.0,0.0,0.0,0.3425645237330402
"Вы работаете?_/_Этнос_другая азиатская (Корея, Малайзия, Таиланд, Вьетнам, Казахстан, Киргизия, Туркмения, Узбекистан, Таджикистан)",0.07074933290199212,0.0,0.0,0.0,0.0
Вы работаете?_*_Этнос_европейская,0.1007713746250645,0.0,0.0,0.0,0.0
Вы работаете?_+_Этнос_европейская,0.08677076798700757,0.0,0.0,0.0,0.0
Вы работаете?_-_Этнос_европейская,0.0,0.0,0.0,0.0,0.31746541511666654
Вы работаете?_/_Этнос_европейская,0.0,0.0,0.0,0.0,0.0
"Вы работаете?_*_Этнос_прочее (любая иная этно-расовая группа, не представленная выше)",0.0,0.0,0.0,0.0,0.0
"Вы работаете?_+_Этнос_прочее (любая иная этно-расовая группа, не представленная выше)",0.0,0.0,0.0,0.18398010619221994,0.0
"Вы работаете?_-_Этнос_прочее (любая иная этно-расовая группа, не представленная выше)",0.013763218362154578,0.0,0.0,0.0,0.0
"Вы работаете?_/_Этнос_прочее (любая иная этно-расовая группа, не представленная выше)",0.0,0.0,0.037312030952889194,0.1374902479160512,0.0
Вы работаете?_*_Национальность_Армяне,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Национальность_Армяне,0.0,0.0,0.14544506497036502,0.19730781908757442,0.0
Вы работаете?_-_Национальность_Армяне,0.0,0.0,0.11023935507884097,0.0,0.0
Вы работаете?_/_Национальность_Армяне,0.03842573640484196,0.0,0.0,0.0,0.0
Вы работаете?_*_Национальность_Белорусы,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Национальность_Белорусы,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Национальность_Белорусы,0.0,0.0,0.0,0.7889911053670169,0.0
Вы работаете?_/_Национальность_Белорусы,0.0,0.0,0.0,0.0,0.0
Вы работаете?_*_Национальность_Другие национальности,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Национальность_Другие национальности,0.0,0.0,0.0,0.03300649137565471,0.0
Вы работаете?_-_Национальность_Другие национальности,0.0,0.23522682526830782,0.0,0.0,0.038100005249601034
Вы работаете?_/_Национальность_Другие национальности,0.0,0.0,0.1393246758404125,0.06503479670914647,0.0
Вы работаете?_*_Национальность_Казахи,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Национальность_Казахи,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Национальность_Казахи,0.0,0.0,0.07622122568484618,0.0,0.0
Вы работаете?_/_Национальность_Казахи,0.0,0.0,0.0,0.0,0.0
Вы работаете?_*_Национальность_Немцы,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Национальность_Немцы,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Национальность_Немцы,0.17099520321237438,0.0,0.0,0.0,0.0
Вы работаете?_/_Национальность_Немцы,0.0,0.0,0.12749001961957176,0.0,0.0
Вы работаете?_*_Национальность_Русские,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Национальность_Русские,0.007085043576648861,0.0,0.0,0.0,0.0
Вы работаете?_-_Национальность_Русские,0.0,0.0,0.0,0.0,0.0
Вы работаете?_/_Национальность_Русские,0.0,0.0,0.043710129260969274,0.0,0.0
Вы работаете?_*_Национальность_Татары,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Национальность_Татары,0.0,0.0,0.0,0.0,0.21216481393949826
Вы работаете?_-_Национальность_Татары,0.04564632287207783,0.0,0.0,0.0,0.0
Вы работаете?_/_Национальность_Татары,0.03135230480600985,0.0,0.0,0.0,0.0
Вы работаете?_*_Национальность_Украинцы,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Национальность_Украинцы,0.030248718196137555,0.0,0.0,0.0,0.0
Вы работаете?_-_Национальность_Украинцы,0.0,0.0,0.0,0.0,0.0
Вы работаете?_/_Национальность_Украинцы,0.0,0.0,0.055453547391286766,0.0,0.0
Вы работаете?_*_Национальность_Чуваши,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Национальность_Чуваши,0.0,0.4196514091009587,0.0,0.22208958365639556,0.0
Вы работаете?_-_Национальность_Чуваши,0.0,0.0,0.0,0.0,0.0
Вы работаете?_/_Национальность_Чуваши,0.028737835764023275,0.530545788313222,0.0,0.0,0.0
Вы работаете?_*_Религия_Атеист / агностик,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Религия_Атеист / агностик,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Религия_Атеист / агностик,0.0,0.0,0.0,0.0,0.0
Вы работаете?_/_Религия_Атеист / агностик,0.0,0.44562787605890736,0.15689590409444132,0.6154187980650969,0.0
Вы работаете?_*_Религия_Ислам,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Религия_Ислам,0.048201408326187425,0.0,0.0,0.1849852662599002,0.0
Вы работаете?_-_Религия_Ислам,0.0,0.0,0.0,0.0,0.0
Вы работаете?_/_Религия_Ислам,0.0,0.0,0.10871246846646451,0.21594471086103337,0.0
Вы работаете?_*_Религия_Нет,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Религия_Нет,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Религия_Нет,0.0,0.0,0.0,0.0,0.0
Вы работаете?_/_Религия_Нет,0.0776165019462997,0.0,0.0,0.0,0.0
Вы работаете?_*_Религия_Христианство,0.0376020852759376,0.0,0.0,0.0,0.0
Вы работаете?_+_Религия_Христианство,0.0,0.0,0.2311530904893044,0.0,0.0
Вы работаете?_-_Религия_Христианство,0.0,0.0,0.0,0.0,0.0
Вы работаете?_/_Религия_Христианство,0.0,0.0,0.0,0.0,0.18720595351299027
Вы работаете?_*_Образование_2 - начальная школа,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Образование_2 - начальная школа,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Образование_2 - начальная школа,0.0,0.0,0.0,0.1637621363040694,0.0
Вы работаете?_/_Образование_2 - начальная школа,0.0,0.0,0.0,0.0,0.0
Вы работаете?_*_Образование_3 - средняя школа / закон.среднее / выше среднего,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Образование_3 - средняя школа / закон.среднее / выше среднего,0.04051800856492978,0.0,0.0,0.0,0.0
Вы работаете?_-_Образование_3 - средняя школа / закон.среднее / выше среднего,0.0,0.0,0.0,0.4876992045471141,0.0
Вы работаете?_/_Образование_3 - средняя школа / закон.среднее / выше среднего,0.0,0.0,0.0,0.0,0.0
Вы работаете?_*_Образование_4 - профессиональное училище,0.018432968745283506,0.0,0.0,0.0,0.0
Вы работаете?_+_Образование_4 - профессиональное училище,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Образование_4 - профессиональное училище,0.07889335289474879,0.0,0.0,0.06732365353442765,0.0
Вы работаете?_/_Образование_4 - профессиональное училище,0.017993520768162814,0.0,0.0,0.0,0.0
Вы работаете?_*_Образование_5 - ВУЗ,0.0,0.0,0.0,0.04736403662527484,0.0
Вы работаете?_+_Образование_5 - ВУЗ,0.0829194724013502,0.20186588598164829,0.0,0.0,0.07159775717440811
Вы работаете?_-_Образование_5 - ВУЗ,0.0,0.0,0.0,0.0,0.0
Вы работаете?_/_Образование_5 - ВУЗ,0.03021569415272559,0.0,0.0,0.311243243670583,0.0
Вы работаете?_*_Профессия_ведение домашнего хозяйства,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Профессия_ведение домашнего хозяйства,0.03306831851512179,1.0032307688132769,0.0,0.0,0.0
Вы работаете?_-_Профессия_ведение домашнего хозяйства,0.0,0.0,0.14743203848589911,0.13596403285593392,0.0
Вы работаете?_/_Профессия_ведение домашнего хозяйства,0.007763974438135972,0.0,0.0,0.0,0.0
Вы работаете?_*_Профессия_вооруженные силы,0.0,0.0,0.0,0.0,9.613167981128327e-06
Вы работаете?_+_Профессия_вооруженные силы,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Профессия_вооруженные силы,0.0,0.0,0.0,0.0,0.0
Вы работаете?_/_Профессия_вооруженные силы,0.010560827494313385,0.0,0.20096133112585834,0.0,0.0
Вы работаете?_*_Профессия_дипломированные специалисты,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Профессия_дипломированные специалисты,0.042967348555364465,0.0,0.0,0.0,0.0
Вы работаете?_-_Профессия_дипломированные специалисты,0.0,0.0,0.0,0.0,0.3332244677309211
Вы работаете?_/_Профессия_дипломированные специалисты,0.014919023355664704,0.0,0.0,0.0,0.0
Вы работаете?_*_Профессия_квалифицированные работники сельского хозяйства и рыболовного,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Профессия_квалифицированные работники сельского хозяйства и рыболовного,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Профессия_квалифицированные работники сельского хозяйства и рыболовного,0.0,0.0,0.0,0.0,0.0
Вы работаете?_/_Профессия_квалифицированные работники сельского хозяйства и рыболовного,0.0,0.0,0.0,0.08405845255288286,0.0
Вы работаете?_*_Профессия_низкоквалифицированные работники,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Профессия_низкоквалифицированные работники,0.0,0.0,0.0,0.03589597097020123,0.0
Вы работаете?_-_Профессия_низкоквалифицированные работники,0.0,0.3968636203576787,0.14504029653053413,0.0,0.0
Вы работаете?_/_Профессия_низкоквалифицированные работники,0.03406520517011934,0.0,0.0,0.0,0.0
Вы работаете?_*_Профессия_операторы и монтажники установок и машинного оборудования,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Профессия_операторы и монтажники установок и машинного оборудования,0.032015432246771024,0.7120647272391115,0.0,0.0,0.0
Вы работаете?_-_Профессия_операторы и монтажники установок и машинного оборудования,0.0,0.8329818570456713,0.0,0.0,0.0
Вы работаете?_/_Профессия_операторы и монтажники установок и машинного оборудования,0.0,0.0,0.18238847169395567,0.0,0.0
"Вы работаете?_*_Профессия_представители   законодат.   органов   власти,  высокопостав. долж.лица и менеджеры",0.0,0.0,0.0,0.0,0.0
"Вы работаете?_+_Профессия_представители   законодат.   органов   власти,  высокопостав. долж.лица и менеджеры",0.0,0.0,0.0,0.32530976222692914,0.0
"Вы работаете?_-_Профессия_представители   законодат.   органов   власти,  высокопостав. долж.лица и менеджеры",0.0,0.0,0.0,0.0,0.0
"Вы работаете?_/_Профессия_представители   законодат.   органов   власти,  высокопостав. долж.лица и менеджеры",0.0,0.0,0.0,0.0,0.0
"Вы работаете?_*_Профессия_работники,  занятые в сфере обслуживания, торговые работники магазинов и рынков",0.0,0.0,0.05799692976568248,0.0,0.0
"Вы работаете?_+_Профессия_работники,  занятые в сфере обслуживания, торговые работники магазинов и рынков",0.0,0.0,0.18000622321411283,0.0,0.0
"Вы работаете?_-_Профессия_работники,  занятые в сфере обслуживания, торговые работники магазинов и рынков",0.0032143904058908467,0.0,0.0,0.0,0.0
"Вы работаете?_/_Профессия_работники,  занятые в сфере обслуживания, торговые работники магазинов и рынков",0.0,0.0,0.0,0.0,0.0
Вы работаете?_*_Профессия_ремесленники и представители других отраслей промышленности,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Профессия_ремесленники и представители других отраслей промышленности,0.016275407598822022,0.0,0.0,0.0955666865782382,0.0
Вы работаете?_-_Профессия_ремесленники и представители других отраслей промышленности,0.0,0.0,0.15455205896264565,0.0,0.0
Вы работаете?_/_Профессия_ремесленники и представители других отраслей промышленности,0.0,0.0,0.0,0.16058256150323807,0.0
Вы работаете?_*_Профессия_служащие,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Профессия_служащие,0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Профессия_служащие,0.0,0.0,0.0,0.18757549368873944,0.0
Вы работаете?_/_Профессия_служащие,0.0,0.0,0.08647196423126434,0.0,0.0
Вы работаете?_*_Профессия_техники и младшие специалисты,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Профессия_техники и младшие специалисты,0.0724672346088878,0.0,0.0,0.0,0.0
Вы работаете?_-_Профессия_техники и младшие специалисты,0.08886900255258415,0.0,0.0,0.0,0.0
Вы работаете?_/_Профессия_техники и младшие специалисты,0.0,0.1613605626323607,0.0,0.0,0.0
Вы работаете?_*_Статус Курения_Бросил(а),0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Статус Курения_Бросил(а),0.0,0.0,0.0,0.0,0.0
Вы работаете?_-_Статус Курения_Бросил(а),0.0,0.1020479293849163,0.07340420751956248,0.0,0.0
Вы работаете?_/_Статус Курения_Бросил(а),0.0,0.11113618407692362,0.0,0.0,0.0
Вы работаете?_*_Статус Курения_Курит,0.0,0.0,0.0,0.0,0.0
Вы работаете?_+_Статус Курения_Курит,0.0756299623880807,0.0,0.0,0.0,0.0
